link,ios,android,error
https://play.google.com/store/apps/details?id=com.onenurse.mobile,,https://play.google.com/intl/en_us/about/play-terms.html,
https://play.google.com/store/apps/details?id=com.onenurse.mobile,,https://play.google.com/intl/en_us/about/play-terms.html,
https://play.google.com/store/apps/details?id=com.onenurse.mobile,,https://play.google.com/intl/en_us/about/play-terms.html,
https://www.1nurse.com/in,https://apps.apple.com/us/app/1nurse/id1576850024,https://play.google.com/store/apps/details?id=com.onenurse.mobile,
https://www.notion.so,,,
https://play.google.com/store/apps/details?id=com.onenurse.mobile,,https://play.google.com/intl/en_us/about/play-terms.html,
https://play.google.com/store/apps/details?id=com.onenurse.mobile,,https://play.google.com/intl/en_us/about/play-terms.html,
https://play.google.com/store/apps/details?id=com.onenurse.mobile,,https://play.google.com/intl/en_us/about/play-terms.html,
https://www.1nurse.com/in,https://apps.apple.com/us/app/1nurse/id1576850024,https://play.google.com/store/apps/details?id=com.onenurse.mobile,
https://www.notion.so/download,,,
https://www.notion.so/product/calendar/download,,,
https://www.notion.so/mobile/download,https://apps.apple.com/app/notion-notes-tasks-wikis/id1232780281,https://play.google.com/store/apps/details?id=notion.id&referrer=utm_source%3Dnone%26utm_medium%3Dnone%26utm_campaign%3Dnone%26utm_term%3Dnone%26utm_content%3Dnone%26referer%3D&pli=1,
https://www.notion.so/mobile/mobile,https://apps.apple.com/app/notion-notes-tasks-wikis/id1232780281,https://play.google.com/store/apps/details?id=notion.id&referrer=utm_source%3Dnone%26utm_medium%3Dnone%26utm_campaign%3Dnone%26utm_term%3Dnone%26utm_content%3Dnone%26referer%3D&pli=1,
https://www.notion.so/mobile,https://apps.apple.com/app/notion-notes-tasks-wikis/id1232780281,https://play.google.com/store/apps/details?id=notion.id&referrer=utm_source%3Dnone%26utm_medium%3Dnone%26utm_campaign%3Dnone%26utm_term%3Dnone%26utm_content%3Dnone%26referer%3D&pli=1,
https://www.notion.so/product/calendar/download,,,
https://www.notion.so,,,
